H_PSE100mean,H_PSE100std,H_PSE120mean,H_PSE120std,H_PSE240mean,H_PSE240std
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.87911,0.86058,0,0,0,0
0.89098,0.88104,0,0,0,0
0.86058,0.87946,0,0,0,0
0.87503,0.9584,0,0,0,0
0.8936,1.094,0,0,0,0
0.8994,1.1164,0,0,0,0
0.99073,1.1955,0,0,0,0
0.9185,0.98911,0,0,0,0
0.88459,0.9043,0,0,0,0
0.85587,0.86363,0,0,0,0
0.79979,0.91109,0,0,0,0
0.77217,0.94773,0,0,0,0
0.70891,1.1487,0,0,0,0
0.70792,1.2152,0,0,0,0
0.73315,1.2709,0,0,0,0
0.83877,1.3337,0,0,0,0
0.9207,1.2671,0,0,0,0
0.92247,1.1832,0,0,0,0
0.94611,1.1141,0,0,0,0
1.0524,1.1685,0,0,0,0
0.97095,1.0272,1.529,0.66131,0,0
0.89586,0.95076,1.4818,0.57482,0,0
0.91779,0.92993,1.459,0.49498,0,0
0.85142,0.95377,1.4309,0.47817,0,0
0.88002,0.98446,1.4394,0.47965,0,0
0.87399,0.9708,1.4874,0.49152,0,0
0.92949,1.0013,1.539,0.5043,0,0
1.0597,1.0901,1.5738,0.51173,0,0
1.1042,1.0514,1.5675,0.51886,0,0
1.1491,1.0053,1.5554,0.54613,0,0
1.1233,0.97538,1.5114,0.5072,0,0
1.0332,0.98885,1.3885,0.60298,0,0
0.92075,0.93394,1.2979,0.65845,0,0
0.86656,0.96992,1.2826,0.67957,0,0
0.86288,1.0568,1.2075,0.62053,0,0
0.82866,1.0912,1.1788,0.60559,0,0
0.72227,1.1099,1.1954,0.5929,0,0
0.69466,1.0685,1.2294,0.56574,0,0
0.78646,1.0547,1.3211,0.56334,0,0
0.86921,1.1746,1.3492,0.55382,0,0
0.83244,1.231,1.3754,0.64109,0,0
0.68206,1.1213,1.4455,0.84995,0,0
0.51595,1.0406,1.3761,0.70195,0,0
0.35868,1.0389,1.3679,0.66776,0,0
0.2758,1.0557,1.3614,0.66475,0,0
0.26914,1.0956,1.3478,0.67256,0,0
0.28115,1.1857,1.3147,0.70937,0,0
0.31382,1.2715,1.3151,0.66713,0,0
0.23079,1.2371,1.2688,0.62297,0,0
0.25226,1.5741,1.3301,0.68127,0,0
0.20187,1.4576,1.3772,0.64943,0,0
0.3365,1.4798,1.332,0.60046,0,0
0.54339,1.5077,1.2622,0.6545,0,0
0.54232,1.3197,1.2312,0.6605,0,0
0.44714,1.0472,1.1772,0.59634,0,0
0.40496,0.91795,1.1218,0.56856,0,0
0.40794,0.86128,1.1398,0.5897,0,0
0.42566,0.87092,1.1635,0.54629,0,0
0.5523,1.0039,1.1763,0.59384,0,0
0.65223,1.1459,1.1817,0.7223,0,0
0.70448,1.1506,1.2398,0.8329,0,0
0.65564,1.0689,1.2563,0.88549,0,0
0.65417,1.0752,1.2197,0.88313,0,0
0.70925,1.106,1.2281,0.99388,0,0
0.74464,1.1948,1.1331,0.88807,0,0
0.71331,1.2488,1.11,0.81927,0,0
0.60399,1.1506,1.1358,0.64602,0,0
0.52193,1.1446,1.0505,0.94864,0,0
0.47068,1.0563,1.1544,0.86462,0,0
0.47175,0.94507,1.2054,0.87188,0,0
0.48242,0.96184,1.2626,0.9117,0,0
0.46384,1.0969,1.2095,0.91989,0,0
0.44002,1.1426,1.1413,0.90915,0,0
0.48523,1.281,1.0942,0.96848,0,0
0.46256,1.3249,1.0966,1.023,0,0
0.45687,1.3908,1.1109,1.0338,0,0
0.49493,1.5474,1.1503,1.0088,0,0
0.5108,1.652,1.1317,0.93857,0,0
0.46049,1.3735,1.1621,0.89877,0,0
0.49163,1.2017,1.2093,0.88634,0,0
0.49646,1.0983,1.2972,0.92643,0,0
0.52335,1.0762,1.2302,0.85279,0,0
0.53961,1.107,1.1802,0.79099,0,0
0.60639,1.1796,1.1516,0.75719,0,0
0.6675,1.2159,1.1324,0.71511,0,0
0.75204,1.2752,1.1484,0.65228,0,0
0.83899,1.359,1.1846,0.62841,0,0
0.78385,1.2972,1.2444,0.65322,0,0
0.66393,1.2686,1.2583,0.56473,0,0
0.54677,1.243,1.2671,0.59282,0,0
0.49684,1.2987,1.2767,0.57227,0,0
0.4899,1.3994,1.2998,0.62493,0,0
0.54705,1.4231,1.3042,0.5857,0,0
0.5622,1.361,1.3435,0.63433,0,0
0.58636,1.2929,1.3539,0.7014,0,0
0.59178,1.2083,1.3861,0.73656,0,0
0.61941,1.1765,1.3747,0.64827,0,0
0.77447,1.3014,1.3138,0.4878,0,0
0.81389,1.1815,1.3443,0.44834,0,0
0.8127,1.1038,1.3195,0.42713,0,0
0.82882,1.1038,1.2647,0.3412,0,0
0.84855,1.0777,1.242,0.37853,0,0
0.85878,1.0372,1.2495,0.47221,0,0
0.82544,1.076,1.2911,0.57725,0,0
0.82023,1.1864,1.3615,0.58957,0,0
0.76553,1.3585,1.3522,0.50843,0,0
0.70732,1.3421,1.4074,0.5538,0,0
0.69009,1.2245,1.4194,0.50542,0,0
0.7062,1.2389,1.4557,0.52996,0,0
0.79724,1.4445,1.4932,0.56595,0,0
0.74167,1.1884,1.4488,0.52118,0,0
0.72782,1.0939,1.4875,0.62506,0,0
0.70903,1.1031,1.5582,0.62573,0,0
0.60621,1.0399,1.5958,0.70791,0,0
0.54913,1.0556,1.6071,0.71563,0,0
0.55345,1.0497,1.5924,0.74862,0,0
0.5536,1.1399,1.5543,0.75621,0,0
0.51747,1.2548,1.5445,0.79631,0,0
