# 6k BNS for all individual biomes and models based on the climate-biomisations, against BIOME6000 reconstructions

#        Model         MPI-T63  IPSL31  HadGEM2 LPJ    MIROC
1	trop.forest	0.42    0.27	0.48	0.55	0.17
2	warm.forest	0.41	0.24	0.44	0.42	0.19
3	temp.forest	0.83	0.69	0.82	0.80	0.64
4	bor.forest	0.74	0.76	0.81	0.78	0.47
5	Savanna		0.09	0.05	0.09	0.10	0.05
6	Grassland	0.51	0.26	0.67	0.70	0.42
7	Desert		0.53	0.28	0.51	0.52	0.07
8	Tundra		0.68	0.53	0.48	0.73	0.07
9	pol.desert	NA	NA	NA	NA	NA
0	total		0.69	0.55	0.70	0.71	0.46
